State, parcel_level, s, pass, number of parcels, number of fixings, percent fixed, time, 
AL,tract,14,1,"1,437","378",26.30,"3.09"
AL,tract,14,3,"1,437","430",29.92,"235.74"
AL,tract,15,1,"1,437","242",16.84,"3.62"
AL,tract,15,3,"1,437","281",19.55,"208.66"
AL,tract,16,1,"1,437","124",8.63,"3.37"
AL,tract,16,3,"1,437","165",11.48,"190.70"
AL,tract,17,1,"1,437","43",2.99,"3.64"
AL,tract,17,3,"1,437","71",4.94,"208.88"
AL,tract,18,1,"1,437","8",0.56,"3.86"
AL,tract,18,3,"1,437","22",1.53,"209.50"
AL,tract,19,1,"1,437","0",0.00,"1.69"
AL,tract,19,3,"1,437","0",0.00,"222.89"
GA,tract,14,1,"2,796","596",21.32,"5.92"
GA,tract,14,3,"2,796","613",21.92,"358.09"
GA,tract,15,1,"2,796","438",15.67,"7.20"
GA,tract,15,3,"2,796","446",15.95,"372.06"
GA,tract,16,1,"2,796","286",10.23,"6.60"
GA,tract,16,3,"2,796","292",10.44,"466.46"
GA,tract,17,1,"2,796","180",6.44,"7.79"
GA,tract,17,3,"2,796","184",6.58,"547.95"
GA,tract,18,1,"2,796","85",3.04,"9.01"
GA,tract,18,3,"2,796","85",3.04,"763.93"
GA,tract,19,1,"2,796","41",1.47,"7.11"
GA,tract,19,3,"2,796","41",1.47,"796.62"
IL,tract,13,1,"3,265","2,076",63.58,"3.66"
IL,tract,13,3,"3,265","2,141",65.57,"288.44"
IL,tract,14,1,"3,265","1,890",57.89,"4.66"
IL,tract,14,3,"3,265","1,949",59.69,"306.02"
IL,tract,15,1,"3,265","1,671",51.18,"5.95"
IL,tract,15,3,"3,265","1,705",52.22,"467.66"
IL,tract,16,1,"3,265","1,500",45.94,"5.94"
IL,tract,16,3,"3,265","1,510",46.25,"530.67"
IL,tract,17,1,"3,265","1,390",42.57,"8.85"
IL,tract,17,3,"3,265","1,395",42.73,"606.04"
IL,tract,18,1,"3,265","1,216",37.24,"11.07"
IL,tract,18,3,"3,265","1,216",37.24,"752.90"
LA,tract,14,1,"1,388","95",6.84,"4.13"
LA,tract,14,3,"1,388","122",8.79,"301.81"
LA,tract,15,1,"1,388","30",2.16,"3.39"
LA,tract,15,3,"1,388","35",2.52,"230.61"
LA,tract,16,1,"1,388","11",0.79,"3.59"
LA,tract,16,3,"1,388","11",0.79,"240.44"
LA,tract,17,1,"1,388","0",0.00,"1.58"
LA,tract,17,3,"1,388","0",0.00,"266.55"
MD,tract,14,1,"1,475","125",8.47,"2.12"
MD,tract,14,3,"1,475","140",9.49,"356.68"
MD,tract,15,1,"1,475","79",5.36,"2.34"
